question,answer
What is the order of the cranial nerves ?,1-olfactory\n2-optic\n3-oculomotor\n4-trochlear\n5-trigeminal \n6-abducens\n7-facial\n8-vestibulocochlear\n9-glossopharyngeal\n10-vagus\n11-accessory\n12-hypoglossal
What are the efferent cranial nerve nuclei?,Edinger-westphal nucleus\nOculomotor nucleus\nTrochlear nucleus\nTrigeminal motor nucleus \nAbducens nucleus \nFacial motor nucleus \nSalivatory nuclei \nNucleus ambiguus\nDorsal motor nucleus of vagus \nHypoglossal nucleus
Which nuclei share the embryo logical origin -nuclei of the somatic efferent cell column ?,Oculomotor nucleus Trochlear nucleus Abducens nucleus Hypoglossal nucleus
Which nuclei share the embryo logical origin- nuclei of the branchiomotor cell column?,Trigeminal motor nucleus Facial motor nucleus Nucleus ambiguus
Which nuclei share the embryo logical origin- nuclei of the parasympathetic cell column ?,Edinger-Westphal nucleus Superior and inferior salivatory nucleus Dorsal motor nucleus of the vagus
Which cranial nerves are sensory ?,Olfactory Optic Vestibulocochlear
Which cranial nerves are motor?,Oculomotor\nTrochlear \nAbducens\nAccessory\nHypoglossal
Which of the cranial nerves have both sensory and motor control ?,TrigeminalFacial GlossopharyngealVagus
What is the function of cranial nerve 1?,The olfactory nerve is a sensory fibre for the nose
What is the function of the olfactory nerve ?,It’s component fibres are sensory and it’s involved in olfaction It innervates olfactory epithelium via the olfactory bulb
What is the function of the optic nerve ?,It’s component fibres are sensory and they are involved in vision It innervate retina
What are the functions of the oculomotor nerve ?,"Its component motor fibres are involved in the movement of the eye by innervating the superior, inferior and medial rectus, inferior oblique ( it’s able to elevate, depress and addict the eye) and levator palebrae muscles - motor neurons going to these extra ocular muscles have their cell bodies in the oculomotor nucleus\nIts component parasympathetic fibres are involved in pupil construction and accommodation by innervating pupillary constrictor and ciliary muscles of the eye via ciliary ganglion -these preganglionic fibres arise from the Edinburgh-Westphal nucleus"
What are the functions of the trochlear nerve ?,It’s component motor fibres are involved in the movement if the eye by innervating the superior oblique muscle (moves eye downwards and medially) - the motor neurons arise from the trochlear nucleus IT IS THE ONLY CRANIAL NERVE THAT EMERGES FROM THE DORSAL ASPECT OF THE BRAINSTEM.
What are the functions of the trigeminal nerve ?,"It’s component sensory fibres are involved in general sensations by innervating the face, scalp, cornea, nasal and oral cavities and cranial dura mater\nIt’s component motor fibres are involved in opening and closing of the mouth by innervating the muscles of mastication and they are also involved in tension on tympanic membrane by innervating tensor tympani muscles"
What are the functions of the abducens nerve ?,It’s component motor fibres are involved in the movement of the eye by innervating the lateral rectus muscles
What are the functions of the facial nerve ?,It’s component sensory fibres are involved in taste by innervating the anterior 2/3 of the tongue\nIt’s component motor fibres are involved in facial movements by innervating the muscles of facial expression\nIt’s component parasympathetic fibres are involved in salivation and lacrimination by innervating the salivary and lacrimal glands via submandibular and pyerygopalatine ganglia
What are the functions of the vestibulocochlear nerve ?,It’s component sensory fibres are involved in position and movement of the head by innervating vestibular apparatus\nIt’s other component sensory fibres are involved in hearing by innervating cochlea I
What are the functions if the glossopharyngeal nerve ?,It’s component sensory fibres are involved in general sensation and taste by innervating the pharynx and posterior 1/3 of the tongue\nOther component sensory fibres are involved in general sensation by innervating the Eustachian tube and middle ear\nOther component sensory fibres are involved in chemo and Baro-reception by innervating the carotid body and carotid sinus\nIts component motor fibres are involved in swallowing by innervating the stylopharyngeus muscles\nIt’s component parasympathetic fibres are involved in salivation by innervating parotid salivary gland via otic ganglion
What are the functions of the vagus nerve ?,"It’s component sensory fibres are involved in general sensation by innervating the pharynx, larynx, oesophagus and external ear\nOther sensory fibres are involved in chemo and bro reception by innervating thee aortic bodies and aortic arch\nOther sensory fibres are involved in visual sensation by innervating the thoracic and abdminal viscera\nIt’s component motor fibres are involved in speech and swallowing by innervating the soft palate, pharynx, larynx, upper oesophagus\nIt’s parasympathetic fibres are involved in control of cardiovascular system, respiratory and gastrointestinal tracts by innervating the thoracic and abdominal viscera"
What are the functions of the accessory nerve ?,Its component motor fibres are involved in the movement of the head and shoulder by innervating the sternomastoid and trapezius muscles
What are the functions of the hypoglossal nerve ?,It’s component motor fibres are involved in the movement of the tongue by innervating the intrinsic and extrinsic muscles of the tongue
Where does the spinal cord proper extend to and from ?,From the foramen magnum to the 1st/2nd lumbar vertebrae
Which regions of the cross section of the spinal cord have a larger ventral horn ?,The cervical and lumbar regions have larger ventral horns. The thoracic region has a smaller ventral horn region because it controls the trunk so not many motor neurones are coming out. Thoracic region has a more prominent lateral horn where preganglionic neurones are present
What is lamina 1 called ?,Nucleus posteromarginalis
What is laminae 2 called ?,Substantia gelatinosa
"What are laminae 3,4,5 called ?",N.proprius
Where is laminae 7 situated and what is it called ?,Situated in the intermediate horn. It’s called the interomediolateral nucleus. Contains inter neurones to connect different laminae
Where is laminae 9 and what is it called ?,Laminae is in the ventral horn and it’s a motor nucleus
What are the subdivisions of the vertebral column ?,Cervical = 8\nThoracic= 12\nLumbar=5 \nSacral=5 \nCoccygeal
What is present in the grey matter ?,Neuronal cells bodies \nDendrites \nAxons \nAfferent terminals \nGlia
What is present in the White matter ?,Axons of ascending and descending tracts
Which laminae are part of the dorsal horn and what are they called ?,"Lamina 1- nucleus posteromarginalis Lamina 2- substantia gelatinosa Lamina 3,4 and 5 - N.propius"
Which lamina is part of the intermediate horn ?,Lamina 7 - intermediolateral nucleus
Which lamina is part of the ventral horn ?,Lamina 9 -motor nucleus
What parts of the body do the motor neurones of the ventral horn control ?,Medial part controls the neck and trunk Lateral part controls the digits Organisation is important because descending pathways can be in close proximity but not interfere with each other
What are the spinal meninges ?,Protect the spinal cord Dura mater = thickest outer layer which attaches to the skull Arachnoid mater= this is in very close association with the dura mater Pia mater- this is the layer closest to the spinal cord and it is very thin
Where are the cell bodies of sympathetic preganglionic neurones ?,Thoracic and lumbar levels =thoraco-lumbar
Where are the cell bodies of the parasympathetic preganglionic neurons ?,Sacral levels or BRAINSTEM
Where are the cell bodies are sympathetic post ganglionic neurons found ?,Sympathetic chain
Where are the cell bodies of parasympathetic post ganglionic neurons found ?,Close to the target tissue
What is the difference between somatic motor and autonomic outflow ?,The autonomic system has 2 branches (pre and post ganglionic neurons) whereas somatic system has only one neuron output
Explain the lengths of the pre and post ganglionic neurons in the sympathetic and parasympathetic systems ?,Sympathetic Preganglionic neurons are short Post ganglionic neurones are long so they can reach the target Parasympathetic Preganglionic neurons are long Post ganglionic neurons are short because their cell bodies are close to their target
What are the 3 subdivisions of the White matter ?,"Posterior funiculusLateral funiculus. Anterior funiculus These areas contain ascending, descending and propriospinal fibres to link different segments"
What tracts are present in the posterior funiculus ?,Also known as dorsal column Ascending tracts of gracile and cuneate fasiculi The gracile receive inputs from lower part of the body The cuneate receives inputs from the upper part of the body These pathways are important for fine motor control - allow very rapid transmission
What tracts are present in the antero-lateral regions of the White matter ?,Contains ascending fibres of spino-thalamic pathway -critical for pain and temperature control Send tracts to the thalamus and cortex indicating where the painful stimulus is
What are the pathways important in controlling the trunk ?,The reticulospinal and vestibular spinal pathways
What pathways are important in controlling the distal musculature for fine movement ?,Corticospinal and rubrospinal pathways
What is syringomyelia ?,Expansion of the spinal canal\nThis affects the crossing fibres which normally causes bilateral loss of temperature and pain sensation
What is brown-sequard ?,"Causes loss of pain and temperature from the contralateral side Loss of touch, proprioception and vibration from ipsilateral side"
What are the symptoms caused by spinal cord injuries which cause autonomic dysfunction ?,Severe postural hypotension - loss of consciousness Incontinence Impotence
What is motor neurons disease ?,It is the degeneration of upper and lower motor neurons
What are the symptoms of motor neurons disease ?,"Muscle weakness Loss of voluntary movements but eye, bladder and bowl movements maintained However you maintain cognitive function"
What does the hindbrain include ?,Medulla oblongata- myelencephalon\nPons- metencephalon
What is the BRAINSTEM ?,Hindbrain + midbrain
What is the trigeminal system ?,"Consist of subnuclei pralis, interpolaris and caudalia\nThey process sensory inputs from the oro-facial regions"
What is pyramidal decussation ?,It is part of the motor pathway in which motor fibres coming down from the cortex are crossing
What can be seen on the dorsal surface of the BRAINSTEM ?,floor of 4th ventricle\ntrigeminal system\ncomponents of vestibular system\npyramidal decussation\ninferior and superior colliculus\ncerebellar peduncle a\ngracile and cuneate tubercles
What can be viewed on the ventral surface of the BRAINSTEM ?,"Medulla- not the reticular formation or gracile and cuneat but raphe and ventralateral medulla are seen Pons The associated cranial nerves of the medulla and pons are also seen = include 6-12 Other cranial nerves are also seen - 2, 3, 4, 5"
What are the somatic motor nucleus’ in the BRAINSTEM ?,"abducens, hypoglossal, trochlear, oculomotor"
What are the general sensory nuclei found in the BRAINSTEM ?,"Principal trigeminal nucleus, spinal trigeminal"
What special sensory nuclei are found in the BRAINSTEM ?,Vestibular and cochlear nuclei
What are the visceral motor nuclei found in the BRAINSTEM ?,"Edinger-Westphal, saliva tort and dorsal motor nucleus of vagus"
What visceral sensory nuclei are found in the BRAINSTEM ?,Nucleus of the solitary tract
What are the brachial motor nuclei found in the BRAINSTEM ?,"Trigeminal motor nucleus, facial motor, accessory and nucleus ambiguus"
What happens at the caudal medulla ?,90% of the descending corticospinal tracts decussate to cross the midline
What is wallenbergs syndrome ?,Caused by thrombosis of vertebral arteryCauses a wide range of sensory and motor deficits - contralateral loss of pain/temp sensitivity due to the anterolateral system - ipsilateral loss of pain/temp from the face due to trigeminal system -vertigo/nystagmus due to the vestibular nerve - ipsilateral loss of taste due to solitary tract - dysphasia
What are BRAINSTEM gliomas ?,"They are BRAINSTEM tumours and they account for 10-20% of childhood tumours Symptoms: double vision, weakness, unsteady gait, difficulty swallowing, drowsiness, nausea and vomiting By 3 years 13% are still alive"
What are the functions of the reticular formation ?,"The ascending system controls sleep, attention and awakefulness The descending system of fibres form the reticulospinal tract contributing to posture and postural reflexesAlso contributes to heart rate and respiration"
What are the 3 nuclei of the raphe nucleus ?,PallidusObscurus- in medullaMagnus-in pons
What arthe functions of the raphe nucleus ?,"Medullary nuclei (obscurus) project to spinal cord to modulate pain, movements and autonomic control \nMost rostral nuclei project to higher brain regions to modulate pain, mood, sleep wake cycle \nThe raphe Magnus is important in controlling descending pain stimuli"
Explain the somatic nervous system ?,"it receives stimuli from the outside world\ncontrols skeletal muscle\nit’s input receptors are present in the head, body wall and limbs\nvoluntary control\nthe cell bodies of motoneurons are in the CNS but axons in PNS"
How much does the human brain weigh ?,About 1.3-1.4 kg
Explain the autonomic nervous system,"it is monitoring the internal environment\nreceives inputs from receptors in viscera\ncontrols smooth muscle, cardia muscle and glands\ninvoluntary control"
What does the brain and spinal cord originate from?,Neural tube
What is neurulation ?,"Is he process by which the neural plates become the neural tube -22 days after conception\nThe neural groove develops in the neural plate, with the walls being the neural folds. The folds hen fuse dorsally creating the neural tube."
What does the mesoderm form around the neural tube?,It creates bulges called somites which create teh 33 vertebrae of the spinal cord
What is the forebrain divided into ?,split into the telencephalon which forms the cerebral hemispheres\nit is also divided into optic cups\nalso into the diencephalon which is divided into the thalamus and hypothalamus
What is the midbrain (mesencephalon) divided into?,the mesencephalon is divided into the tectum and tegmentum
What is the hindbrain (rhombencephalon) divided into?,it’s divided into the metencephalon which is divided into the pons and cerebellum\nit’s also divided into the myelencephalon which creates the medulla oblongata
What is the small core of the mesencephalon?,It is the cerebral aqueduct which is created when the 2 subdivisions of the mesencephalon (tectum and tegmentum) start to differentiate making the space between these two layers smaller and smaller The cerebral aqueduct is filled with csf
How is the cerebellum formed ?,It is formed from he hindbrain\nThe rhombic lips fold around to form it
What is the function of the cerebrum ?,"organises motor control and processes sensory inputs\n- e.g vision, smell, taste, memory, higher mental functions, emotions"
What is the function of the cerebellum ?,it’s part of the hindbrain\nit’s involved in planning and executing voluntary movements\ninvolved in maintaining balance in reflex movements\nalso important in learning of movements
What is the function of the brainstorm ?,"it controls involuntary muscles\n- important in controlling respiration, heart rate, blood pressure"
What is the function of the hippocampus ?,It is part of the cerebrum which is involved in creating memories
What is the function of the pituitary gland ?,It is the endocrine control gland\nIt is involved in released many hormones
What is the function of the hypothalamus ?,"It is involved in homeostatic regulation such as thirst, hunger, osmotic balance and control of the pituitary gland"
What is chemical transmission ?,neurotransmitter substance released from presynaptic cell diffuses across the synaptic cleft producing an effect on the post synaptic neuron\namine and amino acid neurotransmitter so synthesised in axon terminal and stored in small clear vesicles\nlarge peptide neurotransmitter are formed in the cell body and stored in large dense core vesicles\nrelease of neurotransmitter occurs due to a rise in intracellular calcium\npredominant form of communication in CNS\noccur between many presynaptic elements - mostly axon terminals but also the soma and dendrites\nrequire presynaptic machinery such as synaptic vesicles and neurotransmitters and calcium and it also need post synaptic elements such as receptors for neurotransmitters to bind and influx of ions such as sodium ions or chloride ions\ndistance between pre and  post neurons is about 30-50nm\nevents that occur in the post synaptic neuron are dependent upon the ion channel present which can be ionotropic or metabotropic\ntransmission is unidirectional\nhuge flexibility due to many different neurotransmitters that can be released and the many different receptors\nthey enable ongoing transmission of electrical info by aps
What is electrical transmission ?,"direct flow of ions from one neuron to another via gap junctions\nthere is cytoplasmic continuity between the pre and post synaptic neurones\nthe agent of transmission is ionic current\nhas virtually no synaptic delay\nthe distance between the neurons is 3.5nm\ndirections of transmission is usually bidirectional\nhas practically no flexibility but can be modulTed by pH, calcium and some neurotransmitter a\nusually occur between the somata of neurons but some have been shown at dendrites\nnormally continually open and the flux of ions flows through the electrical synapses\nroles: synchronising info across lots of neurons, organising synaptic circuits during development and communication between glials"
What are the similarities of chemical and electrical transmission ?,1- important means of communication between neurons in the CNS 2- they are both abundant in the CNS and allow transmission of electrical signals between neurons
What are the criteria for a chemical messenger to be considered a neurotransmitter ?,1- must be synthesised in the neurone 2- has to be present in the presynaptic terminal in sufficient quantities to exert its supposed effects 3- when applied exogenously in reasonable concentration it must mimic exactly the actions of the endogenous transmitter 4- has to have a specific mechanism for removing it from its site of action
What are the molecule involved in vesicles release and how does it work ?,The free vesicles are targeted to the active zones.\nThe synaptobrevin present on the vesicles membrane is able bind to snap-25 on the plasma membraneThese 2 proteins then twist together and this causes fusion of the vesicle with the membrane allowing the neurotransmitter to be released by exocytosis Once the synaptotagmin senses the rise in the calcium levels then the neurotransmitter can be released very rapidly
What are metabotropic receptors ?,Coupled to intracellular proteins which transduce the signal to the interior of the cell They can activate second messenger systems and cause more prolonged responses
What are ionotropic receptors ?,Form ion channels which can depolarise or hyper polarise the post synaptic cell
What are gray’s type 1 synapses?,Synapses where the membrane differentiation on the postsynaptic side is thicker= asymmetrical synapses
What are gray’s type 2 synapses ?,Synapses where the membrane differentiation is similar on both sides= symmetrical synapses
What are axo-dendritic synapses ?,Occur on dendritic shaft and dendritic spines\nCommonly excitatory
What are axo-somatic synapses ?,The synapse is on the initial segment of the axon which influences firing rates Often inhibitory
What are axo-axonic synapses ?,These are modulatory and control transmitter release There is pre synaptic facilitation and presynaptic inhibitions Their ability to control the release of neurotransmitter is due to controlling the amount of calcium released
What is temporal summation ?,Summation of all the PSPs over a short period of time
What is spatial summation ?,Summation of all the PSPs over the membrane surface
Which structures of the brain connect the cerebral hemispheres ?,Corpus callosum - larger white matter region and anterior commisure
How many neurons are present in human cerebral cortex ?,10 to the power of 10 neurons
What is the function of the precentral gyrus?,It is important in motor control and is just in front of the central sulcus
What is the function of the post central gyrus ?,It is important in somatosensory control and is just behind the central sulcus
What is Brodmann areas ?,It is the histological analysis of the cortex based on the laminar distribution The neocortex has 6 layers
Which laminae are important for sensory input ?,Lamina 4
What laminae is important for motor input ?,Laminar 5
What are some of the key areas of the subdivisions of the cerebral cortex ?,Post central gyrus - for somatosensory inputPrimary motor cortex/precentral gyrus- for fine motor controlVisual cortex- for conscious visual sensation Auditory cortex - for auditory sensation Broca’s area- for speech production
What do the layers if the cerebral cortex look like ?,Layer 1- has few cells Layer 2 and 3- contain small pyramidal cells which project to other cortical regions Layer 4- contain large stellate cells which receive massive inputs from the thalamus telling us sensory info Layer 5- contain large pyramidal cells with very long projecting axons which make them major output cells Layer 6- contain pyramidal cells that project to the thalamus providing an output for the thalamus
What are basket cells like ?,They can innervate different layers or can remain confined to a single layer They are inhibitory
What are EEGs  and explain the different waves ?,They measure the electrical activity of a large group of neurons in the cortex\n\ndelta waves = low frequency and are active during deep sleep (<4hz)\ntheta waves = slightly higher frequency which are active during sleep (4-7hz)\nalpha waves = slighter higher frequency again and here are active when your awake but relaxed (8-13hz)\nbeta waves = higher frequency again and these are active during mental activity (13-20hz)
What is CT imaging ?,Uses x rays which are fired at several angles Computer constructs a 3d image Exposure to radiation Non functional imaging
What is MRI imaging ?,Uses strong magnetic fields and radio waves to produce images based on hydrogen content of body tissue- water No radiation.Non functional imaging
What is PET pane fMRI imaging ?,Functional imaging\nIt detects changes in the brain metabolism and blood flow Active neurons require more oxygen/glucose and so brain blood vessels work by increasing the blood flow to these neurons
How much of the cerebral cortex is made up of the association cortex and what is it’s function ?,"75% Important for integrating info received from other brain regions It is very large in humans Inputs: main one is the CORTICO-CORTICAL CONNECTIONS. Others include primary/secondary sensory and motor cortices, other association areas in both hemisphere and the thalamus and brainstemOutputs: hippocampus, basal ganglia/cerebellum, thalamus etc"
What is the flow of connections of cortical areas ?,Primary sensory areas \nHigher sensory areas \nAssociation areas \nPremotor areas\nPrimary motor area - these then activate the CORTICO-spinal outputs to innervate muscles
What is contra lateral neglect syndrome ?,It is the inability to attend to objects in space\nThe patients deny the existence of the side of the body opposite to lesion
What is prospognosia?,Face blindness - caused by lesions to the temporal lobe
What are the symptoms of Broca’s aphasias ?,Halting speech \nRepetitive \nDisorder syntax \nDisordered grammar\nDisordered structure of words
What are the effects of wernickes aphasias ?,Fluent speech \nLittle repetition\nSyntax adequate\nGrammar adequate\nContrived or inappropriate words \nThey can understand the language spoken to them but struggled producing speech
Explain bilingualism ?,If you learn more than one language while you are young then the speech areas  overlapping for both languages I strongly lateralised\nIf you learn another language after about 8/9 years old then then the speech areas are non overlapping so there is less lateralisation
What is “split brain” and what is it used to treat ?,"It is the surgical separation of the right and left hemispheres of the brain It is used to treat epilepsy to try and prevent the spread of seizures from one hemisphere to the other,"
Where is language specialisation mainly in the brain ?,It is mainly in the left cerebral hemisphere\nTherefore if a person has “split brain” surgery for epilepsy they can easily name objects in heir right hands but struggle to name objects in their left hands
What do the alar plates give rise to ?,"They migrate downwards to form the red nucleus, inferior and superior colliculus and substantia migrants Alar plates migrate further down than basal plates and they give rise to more"
What is the midbrain important for and what reduces in size during the development of the midbrain ?,Midbrain is important for processing sensory information and providing an output\nThe cerebral aqueduct reduces in size as development occurs
What do the basal plates give rise to ?,They give rise to the edinger-Westphal nucleus and he oculomotor nucleus
What is the overall function of the oculomotor nucleus ?,The oculomotor nucleus is a general somatic efferent nucleus
What is the overall function of the edinger-Westphal nucleus ?,It is a general visceral efferent nucleus
Where does the tectum lie ?,It lies posterior to the cerebral aqueduct
Where does the tegmentum lie ?,It is positions I between the base of the tectum and the substantia nigra
Where are the basis pedunculi and what do they contain ?,"It is the anterolateral sections of the midbrain, made up of the substantia nigra and crus cerebri\nIt contains mainly descending pathways"
On the ventral surface what are the limits of the midbrain ?,The rostral limit is the exit of the crura cerebri from the cerebral hemispheres and the caudal limit is the mammillary bodies
What are the main cranial nerves in the midbrain?,"Cranial nerves 3,4 and 6"
Which surface of the brain is the midbrain more clear on ?,The dorsal surface
What are the limits of the midbrain on the dorsal surface ?,The rostral limit is the superior colliculus and the caudal limit is the inferior colliculus
What inputs does the superior colliculus receive ?,"Visual, auditory and somatosensory"
What nucleus does the superior colliculus feed info out to and what is the motor response produced ?,It feeds info out to the oculomotor nucleus\nIt produces a motor response which orientates the head and eyes towards a stimulus
What happens if you have a lesion through the superior colliculus ?,It doesn’t cause the loss of visual sight but it makes the movements of the eye slower and they are not as accurate
Where does the inferior colliculus receive auditory information from and where does it send auditory info to ?,It receives auditory info from hindbrain structures and sends out the info to the superior colliculus and thalamus
What is the inferior colliculus important for ?,It is important in sound localisation and auditory processing
Why is the red nucleus highly pigmented ?,It has a high iron content and it is very vascular
The red nucleus is a motor nucleus associated with which structure ?,Cerebellum
Which tract originates in the red nucleus and what s it involved in ?,The rubrospinal tract which is important in fine motor control - more important in other animals and during development.
What are the 2 outputs of the red nucleus and where do they project to ?,The magnocellular output is to the spinal cord and ten parvocellular output is to the cerebellum
How is cerebellum ataxia caused ?,Caused by lesions to the parvocellular part of the nucleus
Which main structure of the midbrain is present on the anterior midbrain and which is present on the posterior midbrain ?,Anterior midbrain = red nucleus\nPosterior midbrain = midbrain locomotor area
What does the midbrain locomotor area do ?,It stimulates generator patterns in the spinal cord to initiate movement In doing this it can control pattern and speed of locomotion
What is the PAG important for ?,It is important for modulating pain in descending pathways\nIt contains opioids to help modulate the pain felt
What are the 2 components of the oculomotor nerve ?,It’s somatic motor output is to your eyes to control them and the visceral motor output is the parasympathetic control of the sileon muscles in the sphincter
What does the medial longitudinal fasiculus do ?,"It provides vestibular inputs to cranial nerves 3,4 and 6 which helps to adjust the eyes to look at something and it is also needed for balance"
What does the trochlear nerve do ?,It travels quite far down and crosses to innervate the superior oblique muscles of the eyeIt is the only cranial nerve which exits on the dorsal surface
What happens to the eyes of a lesion or damage occurs to the trochlear nerve ?,It can lead to pathetic palsy in which you suffer from double vision because one eye is able to maintain a gaze however the other eye drifts
Which region of the brain is the abducens nerve present in ?,Hindbrain
What muscle does the abducens nerve control ?,It controls the lateral rectus muscle of the eye
"Cranial nerves 3,4 and 6 completely control the eye. Which nerves control which muscles ?","Trochlear controls superior oblique Oculomotor controls superior and inferior rectus, inferior oblique and medial rectus Abducens controls the lateral rectus"
Which nerve controls the construction of the pupil ?,Oculomotor nerve
What is the direct light reflex ?,It’s the constriction of the pupil due to illumination of the retina Contraction of the sphincter pupillae muscle of the iris constricts the pupil so less light hits the retina
What is the consensual light reflex ?,The consensual light reflex is when the pupil of an eye constricts to let less light in even though the retina of that eye has not be illuminated This occurs because the afferent limb of the light reflex has a small group of optic tract fibres which project to the pretext all area instead of the lateral geniculate nucleus of the thalamus This projection to the pretectal area is important because neurons in this area project bilaterally to the edinger- Westphal nucleus where efferent fibres leave the oculomotor nerve which controls the constriction of the pupil
Why is the substantia nigra dark in colour ?,Because it is rich in melanin
Where does the substantia nigra project to ?,It projects to the caudate and putamen nuclei in the striatum
Where does the ventral tegmental area project to ?,Projects to the ventral striatum in the Mesolimbic pathway from the substantia nigra - important in reward and addiction\nProjects to the frontal cortex in the mesocortical pathways - important in arousal and memory
What is Benedict’s syndrome ?,It is damage to the tegmentum\nDamage to the oculomotor and red nucleus causes cerebellar ataxia which leads to inappropriate movements of your eye
"If dopaminergic systems are damaged different disorders occur, what happens between the substantia nigra and striatum, VTA and striatum and the VTA and the frontal cortex ?",Substantia nigra to striatum\n- Parkinson's disease \nVTA to striatum \n- drug addiction\n- OCD\n- attention deficit hyperactive disorder \nVTA to frontal cortex \n- schizophrenia
What is part of the diencephalon ?,"The thalamus, hypothalamus and epithalamus"
What is the diencephalon important for ?,Critical in transmitting and processing sensory info
Describe the anterior nuclear group of the thalamus nuclei ?,It is part of the limbic system\nReceives info from mammillary bodies of hypothalamus and projects to cingulate gyrus
Describe the ventral posterior nucleus of the thalamic nuclei ?,It is the termination site for all ascending pathways from the spinal cord and BRAINSTEM which carry sensory info from the contra lateral half of the body\n\nspinothalamic tract\nmedial lemniscus tract\nTrigeminothalamic tract
Describe the lateral geniculate nucleus of the thalamic nuclei ?,It is the termination nucleus for the visual system with the optic tracts of the retinal ganglion cells terminating here
Describe the medial geniculate nucleus of the thalamic nuclei ?,It is part of the auditory system\nReceives ascending fibres from the inferior colliculus
Describe the ventral anterior nucleus of the thalamic nuclei ?,"It contains 2 parts, a larger principal part and smaller magnocellular part"
What are the 3 subdivisions of the ventral lateral nucleus ?,Pars oralis Pars medialisPars caudalis
What is the epithalamus important for ?,It is involved in circadian rhythm
What is the reticular nucleus important for ?,It provides GABAergic inputs to the thalamus
What is the subthalamic nucleus important for ?,It is involved in control of movement\n- this is the part of the brain which receives deep brain stimulation to control Parkinson’s disease
What are the functions of the medial hypothalamus?,"Homeostasis Endocrine functionAutonomic function Survival behaviours, thirst, hunger, defence and parental care"
What are the functions of the lateral hypothalamus ?,Important in sleep/wakefulness
What hormone does the paraventricular nucleus release ?,Oxytocin
What hormone does the supra optic nucleus release ?,Vasopressin
Where is the diencephalon situated ?,Between the telencephalon and BRAINSTEM
Which ascending pathway is the diencephalon not involved with ?,Olfaction system
"The thalamus receives lots of sensory info, where do the nuclei receive it from and then send it ?","Nuclei receive info from somatosensory, visual and auditory fibres and they pass the info onto appropriate areas in the cortex Some nuclei receive info from subcortical motor areas and they send out info to the overlying cortex to execute these moto actions Other nuclei receive a diffuse network of inputs and Hesse are sent out to more wide spread areas"
What is equilibrium potential for an ion ?,It is the state at which the ions are in a state where not further changes are possible
What happens when ions cross a membrane to move down their concentration gradient ?,They produce a potential difference closer to their equilibrium potential
What is an electrochemical potential ?,It is when there is no net movement of ions because the electrical forces completely balance the diffusional forces
What does the sodium-potassium ATPase pump do ?,It maintains the gradient across the membrane at rest\nIt pumps against the concentration gradient so it uses ATP. It pumps 3 sodium ions out for every 2 potassium ions in
What are ion channels ?,Integral membrane proteins that are selectively permeable to certain ions Conduct small ionic currents
What are transporters/exchangers ?,Integral membrane proteins which either transport or exchange ions across the membrane Don’t have a pore so they don’t usually conduct ionic current
What are ion pumps ?,Integral membrane proteins Transport ions against their electrochemical gradient Requires ATP
How do voltage gated channels ?,They are very selective due to their gating mechanisms The gate opens/closes based up the potential The pore of these channels have selectivity filters enabling passage of specific ions Gate is connected to a voltage sensor which is sensitive to changes in voltage Gate opens upon conformational changes in the channel
Explain the potassium channel selectivity filter ?,In their pores they have a sequence which is an acidity filter and is highly conserved - TVGYGPotassium ions are surrounded by water molecules making it easier to diffuse in the cytosol The acidity filter in the pore mimics the hydration of the potassium ions so their for the oxygen moieties can interact and allow potassium to diffuse through the channel easily.Sodium also has water molecules surrounding it but because sodium is a smaller molecule the woxygen moieties are too far away to interact so sodium doesn’t pass through the potassium channel
What are the 2 gates present in sodium channels ?,M gate - activation gate which opens upon depolarisation to allow sodium ions to pass through the channel H gate - inactivation gate which activates just after the pore has been open to plug the pore so no more sodium ions can pass through  it remains activate for a while causing he refractory period so there is no more sodium influx
What is the voltage-clamp technique ?,1- an electrode is inserted into the neurone and this measures the membrane potential across it. This electrode is connected to a voltage clamp amplifier 2- voltage clamp amplifier compares the membrane potential of the neuron with the desired membrane potential3- if the membrane potential in the neuron is different from the desired membrane potential then the clamp amplifier injects current through another electrode 4- using a current measured the current which is injected to get the membrane potential to the desired potential is recorded
What does the voltage clamp technique indicate ?,It tells us how the membrane potential influences current\nIt is used to clamp the voltage and then record he effects on the current
What are reversal potentials ?,It is the point at which the potential of the end plate current reverses
What is the current clamp technique ?,In this technique the current flowing across the membrane is controlled so the voltage can be recorded Useful for looking at actions potentials
When an action potential occurs why doesn’t the membrane potential reach the equilibrium potential of sodium ?,Because the sodium channels inactivate very quickly - their effects are transient
What is the role of sodium channels in the action potential ?,"They are voltage gated and open upon depolarisationOnce they open they enable and influx of sodium ions and this causes more sodium channels to open, the explosive influx only occurs if the threshold is reached - push the membrane potential towards their equilibrium potential but inactivate rapidly They remain inactivate during the refractory period preventing any further action potentials occurring They inactivate after about 1-2ms"
What is the role of the potassium channels in the action potential ?,The voltage potassium channels also open at depolarisation but at a more positive potential compared to sodium- they have slower kinetics that sodium channels This delayed opening of the potassium channels is fundamental in the repolarisation of the cellAt rest some voltage gated potassium channels are open and leak potassium channels are open and this is important for maintaining the membrane potential at rest
What are calcium-activated potassium channels ?,There are some potassium channels which react to the internal calcium concentration- they contribute to repolarisation of the cellThese channels are often in cells which contain the voltage calcium channels which contribute to depolarisation\nThese channels remain open longer than voltage gated potassium channels which is why they cause he undershoot of the action potential=afterhyperpolarsation
